x-axis,1,2,3
second,Volt,Volt,Volt
+15.1640000E+00,+2.8983667E+00,+8.7939E-03,+2.8309047E+00
+15.1645000E+00,+2.8179647E+00,+8.7939E-03,+2.9062816E+00
+15.1650000E+00,+2.8983667E+00,+21.3567E-03,+2.9062816E+00
+15.1655000E+00,+2.8179647E+00,+8.7939E-03,+2.9062816E+00
+15.1660000E+00,+2.8983667E+00,-179.6483E-03,+2.9062816E+00
+15.1665000E+00,+2.8179647E+00,+8.7939E-03,+2.9062816E+00
+15.1670000E+00,+2.8179647E+00,+8.7939E-03,+2.9062816E+00
+15.1675000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.1680000E+00,+2.8179647E+00,+8.7939E-03,+2.9062816E+00
+15.1685000E+00,+2.8933415E+00,+8.7939E-03,+2.8309047E+00
+15.1690000E+00,+2.8983667E+00,+8.7939E-03,+2.8309047E+00
+15.1695000E+00,+2.8179647E+00,+8.7939E-03,+2.8309047E+00
+15.1700000E+00,+2.8179647E+00,-179.6483E-03,+2.9062816E+00
+15.1705000E+00,+2.8933415E+00,+8.7939E-03,+2.9062816E+00
+15.1710000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.1715000E+00,+2.8179647E+00,+8.7939E-03,+2.8309047E+00
+15.1720000E+00,+2.8179647E+00,+8.7939E-03,+2.9062816E+00
+15.1725000E+00,+2.8933415E+00,-179.6483E-03,+2.9062816E+00
+15.1730000E+00,+2.8179647E+00,+8.7939E-03,+2.9062816E+00
+15.1735000E+00,+2.8179647E+00,+209.7989E-03,+2.9062816E+00
+15.1740000E+00,+2.8933415E+00,+8.7939E-03,+2.8309047E+00
+15.1745000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.1750000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.1755000E+00,+2.8179647E+00,+8.7939E-03,+2.9062816E+00
+15.1760000E+00,+2.8933415E+00,+8.7939E-03,+2.8309047E+00
+15.1765000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
