x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+12.037500E+00,-6.156E-03,+3.827889E+00,-58.543E-03,+125.955E-03
+12.040000E+00,-11.181E-03,+3.664573E+00,-68.593E-03,-288.618E-03
+12.042500E+00,-46.357E-03,+3.752513E+00,-68.593E-03,+151.080E-03
+12.045000E+00,-76.508E-03,+3.827889E+00,-68.593E-03,-389.121E-03
+12.047500E+00,-76.508E-03,+3.827889E+00,-58.543E-03,+151.080E-03
+12.050000E+00,-91.583E-03,+3.827889E+00,-53.517E-03,-288.618E-03
+12.052500E+00,-46.357E-03,+3.714824E+00,-68.593E-03,+264.146E-03
+12.055000E+00,-76.508E-03,+3.626884E+00,-88.693E-03,-313.744E-03
+12.057500E+00,-151.885E-03,+3.827889E+00,-58.543E-03,+151.080E-03
+12.060000E+00,-146.859E-03,+3.802764E+00,-68.593E-03,-250.930E-03
+12.062500E+00,-126.759E-03,+3.714824E+00,-68.593E-03,+226.457E-03
+12.065000E+00,-131.784E-03,+3.827889E+00,-68.593E-03,-250.930E-03
+12.067500E+00,+3.894E-03,+3.827889E+00,-58.543E-03,+326.960E-03
+12.070000E+00,-91.583E-03,+3.827889E+00,+1.759E-03,-288.618E-03
+12.072500E+00,-76.508E-03,+3.827889E+00,-68.593E-03,+226.457E-03
+12.075000E+00,-26.256E-03,+3.765075E+00,-68.593E-03,-389.121E-03
+12.077500E+00,-6.156E-03,+3.652010E+00,-58.543E-03,+151.080E-03
+12.080000E+00,-21.231E-03,+3.827889E+00,+1.759E-03,-288.618E-03
+12.082500E+00,-76.508E-03,+3.827889E+00,-18.342E-03,+100.829E-03
+12.085000E+00,-106.658E-03,+3.702261E+00,-68.593E-03,-389.121E-03
+12.087500E+00,-76.508E-03,+3.815327E+00,+11.809E-03,+151.080E-03
+12.090000E+00,-146.859E-03,+3.827889E+00,-53.517E-03,-250.930E-03
+12.092500E+00,-46.357E-03,+3.827889E+00,-68.593E-03,+151.080E-03
+12.095000E+00,-131.784E-03,+3.827889E+00,-68.593E-03,-250.930E-03
+12.097500E+00,-71.483E-03,+3.815327E+00,-68.593E-03,+125.955E-03
+12.100000E+00,-76.508E-03,+3.827889E+00,-53.517E-03,-250.930E-03
+12.102500E+00,-76.508E-03,+3.915829E+00,+11.809E-03,+151.080E-03
+12.105000E+00,-51.382E-03,+3.827889E+00,+11.809E-03,-250.930E-03
+12.107500E+00,-76.508E-03,+3.652010E+00,-68.593E-03,+151.080E-03
+12.110000E+00,-91.583E-03,+3.664573E+00,+1.759E-03,-250.930E-03
+12.112500E+00,-111.684E-03,+3.626884E+00,-18.342E-03,+151.080E-03
+12.115000E+00,-76.508E-03,+3.827889E+00,+11.809E-03,-250.930E-03
+12.117500E+00,-76.508E-03,+3.827889E+00,+6.784E-03,+326.960E-03
+12.120000E+00,-11.181E-03,+3.827889E+00,+1.759E-03,-250.930E-03
