x-axis,1,2,3
second,Volt,Volt,Volt
+15.6720000E+00,+2.8983667E+00,+8.7939E-03,+2.9314072E+00
+15.6722500E+00,+2.8179647E+00,+8.7939E-03,+2.8258795E+00
+15.6725000E+00,+2.8380652E+00,+8.7939E-03,+2.8861811E+00
+15.6727500E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6730000E+00,+2.8983667E+00,+159.5477E-03,+2.8258795E+00
+15.6732500E+00,+2.8380652E+00,+8.7939E-03,+2.9062816E+00
+15.6735000E+00,+2.8983667E+00,+8.7939E-03,+2.9464826E+00
+15.6737500E+00,+2.8179647E+00,+8.7939E-03,+2.8510052E+00
+15.6740000E+00,+2.8380652E+00,+8.7939E-03,+2.9062816E+00
+15.6742500E+00,+2.8732410E+00,+8.7939E-03,+2.9062816E+00
+15.6745000E+00,+2.8179647E+00,+109.2964E-03,+2.8861811E+00
+15.6747500E+00,+2.8380652E+00,+8.7939E-03,+2.9062816E+00
+15.6750000E+00,+2.8380652E+00,+8.7939E-03,+2.8861811E+00
+15.6752500E+00,+2.8380652E+00,-41.4574E-03,+2.8510052E+00
+15.6755000E+00,+2.8732410E+00,+159.5477E-03,+2.9062816E+00
+15.6757500E+00,+2.8732410E+00,+8.7939E-03,+2.9314072E+00
+15.6760000E+00,+2.8380652E+00,+8.7939E-03,+2.9062816E+00
+15.6762500E+00,+2.8179647E+00,+8.7939E-03,+2.9665831E+00
+15.6765000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6767500E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6770000E+00,+2.8732410E+00,+8.7939E-03,+2.9062816E+00
+15.6772500E+00,+2.8983667E+00,-79.1458E-03,+2.8258795E+00
+15.6775000E+00,+2.8732410E+00,+8.7939E-03,+2.9062816E+00
+15.6777500E+00,+2.8380652E+00,+8.7939E-03,+2.8510052E+00
+15.6780000E+00,+2.8983667E+00,+71.6080E-03,+2.9866836E+00
+15.6782500E+00,+2.9536430E+00,+109.2964E-03,+2.8258795E+00
+15.6785000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6787500E+00,+2.8983667E+00,+8.7939E-03,+2.9464826E+00
+15.6790000E+00,+2.8380652E+00,+8.7939E-03,+2.9062816E+00
+15.6792500E+00,+2.9536430E+00,+8.7939E-03,+2.9062816E+00
+15.6795000E+00,+2.8732410E+00,+8.7939E-03,+2.8510052E+00
+15.6797500E+00,+2.8732410E+00,+8.7939E-03,+2.8258795E+00
+15.6800000E+00,+2.8983667E+00,-41.4574E-03,+2.9062816E+00
+15.6802500E+00,+2.8531405E+00,+8.7939E-03,+2.8861811E+00
+15.6805000E+00,+2.8983667E+00,+71.6080E-03,+2.9062816E+00
+15.6807500E+00,+2.8380652E+00,-41.4574E-03,+2.8861811E+00
+15.6810000E+00,+2.8380652E+00,+8.7939E-03,+2.9062816E+00
+15.6812500E+00,+2.8983667E+00,+8.7939E-03,+2.8861811E+00
+15.6815000E+00,+2.7928390E+00,+8.7939E-03,+2.8510052E+00
+15.6817500E+00,+2.8983667E+00,+159.5477E-03,+2.8057790E+00
+15.6820000E+00,+2.8380652E+00,+8.7939E-03,+2.9062816E+00
+15.6822500E+00,+2.8732410E+00,+8.7939E-03,+2.9062816E+00
+15.6825000E+00,+2.8179647E+00,+8.7939E-03,+2.9062816E+00
+15.6827500E+00,+2.8732410E+00,+8.7939E-03,+2.8510052E+00
+15.6830000E+00,+2.9184672E+00,+8.7939E-03,+2.8861811E+00
+15.6832500E+00,+2.9335425E+00,-129.3971E-03,+2.8510052E+00
+15.6835000E+00,+2.8983667E+00,+159.5477E-03,+2.9062816E+00
+15.6837500E+00,+2.8179647E+00,+8.7939E-03,+2.9314072E+00
+15.6840000E+00,+2.8380652E+00,-129.3971E-03,-123.8692E-03
+15.6842500E+00,+2.8380652E+00,-129.3971E-03,-8.2913E-03
+15.6845000E+00,+2.8732410E+00,+8.7939E-03,-68.5928E-03
+15.6847500E+00,+2.8581657E+00,+8.7939E-03,-68.5928E-03
+15.6850000E+00,+2.8380652E+00,-41.4574E-03,-8.2913E-03
+15.6852500E+00,+2.8732410E+00,+8.7939E-03,-68.5928E-03
+15.6855000E+00,+2.8380652E+00,+8.7939E-03,-43.4672E-03
+15.6857500E+00,+2.8380652E+00,+71.6080E-03,-43.4672E-03
+15.6860000E+00,+2.8983667E+00,+71.6080E-03,-68.5928E-03
+15.6862500E+00,+2.7576632E+00,+209.7989E-03,-43.4672E-03
+15.6865000E+00,+2.8380652E+00,+8.7939E-03,-43.4672E-03
+15.6867500E+00,+2.8732410E+00,+71.6080E-03,-8.2913E-03
+15.6870000E+00,+2.8732410E+00,+8.7939E-03,-8.2913E-03
+15.6872500E+00,+2.8531405E+00,-41.4574E-03,-43.4672E-03
+15.6875000E+00,+2.8179647E+00,-41.4574E-03,-68.5928E-03
+15.6877500E+00,+2.8732410E+00,+71.6080E-03,-28.3918E-03
+15.6880000E+00,+2.8732410E+00,+159.5477E-03,-68.5928E-03
+15.6882500E+00,+2.8380652E+00,-129.3971E-03,-68.5928E-03
+15.6885000E+00,+2.8531405E+00,+8.7939E-03,-8.2913E-03
+15.6887500E+00,+2.8983667E+00,-129.3971E-03,-43.4672E-03
+15.6890000E+00,+2.8581657E+00,+8.7939E-03,-68.5928E-03
+15.6892500E+00,+2.8179647E+00,+8.7939E-03,+11.8092E-03
+15.6895000E+00,+2.8732410E+00,-41.4574E-03,-8.2913E-03
+15.6897500E+00,+2.8732410E+00,+8.7939E-03,-43.4672E-03
+15.6900000E+00,+2.8179647E+00,+8.7939E-03,-68.5928E-03
+15.6902500E+00,+2.8179647E+00,+8.7939E-03,-68.5928E-03
+15.6905000E+00,+2.8983667E+00,+71.6080E-03,-68.5928E-03
+15.6907500E+00,+2.8179647E+00,+8.7939E-03,-68.5928E-03
+15.6910000E+00,+2.8732410E+00,+8.7939E-03,-68.5928E-03
+15.6912500E+00,+2.8983667E+00,+8.7939E-03,-123.8692E-03
+15.6915000E+00,+2.8380652E+00,+8.7939E-03,-43.4672E-03
+15.6917500E+00,+2.8983667E+00,+8.7939E-03,-68.5928E-03
+15.6920000E+00,+2.8983667E+00,+159.5477E-03,-68.5928E-03
+15.6922500E+00,+2.8732410E+00,+159.5477E-03,-43.4672E-03
+15.6925000E+00,+2.8732410E+00,+8.7939E-03,+11.8092E-03
+15.6927500E+00,+2.8380652E+00,-41.4574E-03,-68.5928E-03
+15.6930000E+00,+2.8983667E+00,-192.2111E-03,-68.5928E-03
+15.6932500E+00,+2.8983667E+00,-79.1458E-03,-43.4672E-03
+15.6935000E+00,+2.8983667E+00,+8.7939E-03,-43.4672E-03
